,id,retweet_count,favorite_count
0,892420643555336193,6975,33696
1,892177421306343426,5276,29225
2,891815181378084864,3466,21975
3,891689557279858688,7189,36776
4,891327558926688256,7721,35160
5,891087950875897856,2586,17735
6,890971913173991426,1649,10323
7,890729181411237888,15689,56635
8,890609185150312448,3605,24428
9,890240255349198849,6074,27837
10,890006608113172480,6117,26950
11,889880896479866881,4142,24489
12,889665388333682689,8306,41865
13,889638837579907072,3701,23569
14,889531135344209921,1874,13304
15,889278841981685760,4425,22009
16,888917238123831296,3745,25517
17,888804989199671297,3517,22382
18,888554962724278272,2866,17251
19,888078434458587136,2885,19091
20,887705289381826560,4520,26521
21,887517139158093824,9814,40564
22,887473957103951883,14966,59964
23,887343217045368832,8784,29477
24,887101392804085760,4972,26901
25,886983233522544640,6289,30253
26,886736880519319552,2619,10459
27,886680336477933568,3722,19654
28,886366144734445568,2613,18492
29,886267009285017600,4,105
30,886258384151887873,5259,24441
31,886054160059072513,93,0
32,885984800019947520,5590,28489
33,885528943205470208,5308,31498
34,885518971528720385,3100,17938
35,885311592912609280,15376,0
36,885167619883638784,3654,19186
37,884925521741709313,14951,66957
38,884876753390489601,4642,24293
39,884562892145688576,3896,21235
40,884441805382717440,4779,23785
41,884247878851493888,16837,62986
42,884162670584377345,2493,17889
43,883838122936631299,2849,19082
44,883482846933004288,8230,40038
45,883360690899218434,3061,19876
46,883117836046086144,5512,32389
47,882992080364220416,3231,20911
48,882762694511734784,4080,24693
49,882627270321602560,5045,24520
50,882268110199369728,9586,39061
51,882045870035918850,4069,25620
52,881906580714921986,2842,21373
53,881666595344535552,8919,44397
54,881633300179243008,8,113
55,881536004380872706,13353,43293
56,881268444196462592,4486,20421
57,880935762899988482,2327,14999
58,880872448815771648,3193,18651
59,880465832366813184,5194,24923
60,880221127280381952,3451,23572
61,880095782870896641,3637,24231
62,879862464715927552,2916,19640
63,879674319642796034,9,281
64,879492040517615616,2620,20646
65,879415818425184262,37251,92496
66,879376492567855104,2635,14796
67,879130579576475649,5714,0
68,879050749262655488,3938,19745
69,879008229531029506,2233,16717
70,878776093423087618,3422,17068
71,878604707211726852,5901,26349
72,878404777348136964,1071,0
73,878316110768087041,5502,0
74,878281511006478336,1071,6756
75,878057613040115712,5714,37014
76,877736472329191424,15739,68967
77,877611172832227328,70,0
78,877556246731214848,3154,19834
79,877316821321428993,4323,24062
80,877201837425926144,4605,23783
81,876838120628539392,2795,18164
82,876537666061221889,3963,20980
83,876484053909872640,1991,16510
84,876120275196170240,3891,24614
85,875747767867523072,3566,22030
86,875144289856114688,4133,19365
87,875097192612077568,5097,24172
88,875021211251597312,3955,22488
89,874680097055178752,3908,24510
90,874434818259525634,12163,0
91,874296783580663808,3472,22891
92,874057562936811520,3369,20052
